Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.733209,-1.380514,11,Partridge Terrace,Wingate,Wingate,,County Durham,,TS28 5BD,United Kingdom
54.654572,-1.243805,176,Kesteven Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 2NL,United Kingdom
54.61479,-1.278305,61,Low Grange Avenue,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3EJ,United Kingdom
54.557855,-1.140819,42,Bolckow Street,Eston,Middlesbrough,,Redcar and Cleveland,,TS6 9ET,United Kingdom
54.522217,-1.177273,192,Guisborough Road,Nunthorpe,Middlesbrough,,Middlesbrough,,TS7 0JG,United Kingdom
54.574128,-1.235706,92,Grange Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 2LS,United Kingdom
54.549489,-1.269088,74,Levick Crescent,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 4RA,United Kingdom
54.606405,-1.07363,8,Low Fold,Redcar,Redcar,,Redcar and Cleveland,,TS10 4DU,United Kingdom
54.554777,-1.206435,3,Langsett Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 7LT,United Kingdom
54.560018,-1.245961,29,Devonshire Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 6DL,United Kingdom
54.730071,-1.440713,,The Banks,,Trimdon Station,,County Durham,,TS29 6NS,United Kingdom
54.594898,-1.019519,6,Mariners Court,Marske-by-the-Sea,Redcar,,Redcar and Cleveland,,TS11 7NG,United Kingdom
54.556061,-0.88674,975,Westfield Way,Loftus,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS13,United Kingdom
54.583343,-1.358693,1,Carburt Road,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 8RZ,United Kingdom
54.560521,-1.346397,22,Chelmsford Avenue,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 5AG,United Kingdom
54.57202,-1.320778,1,Orde Wingate Way,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 3GE,United Kingdom
